Job_Title,Job Title Full,Job Position Level,Years of Experience,Job_Skills,Job Location,Company Industry,Company Size
software engineer,software engineer,entry level,1,"['mysql', 'redis', 'xml', 'agile', 'git', 'java', 'amazon web services', 'sql', 'node.js', 'jquery', 'javascript', 'json', 'linux', 'html', 'server', 'css', 'database', 'aurora']",united states6,nan,
data engineer,senior azure data engineer,mid-senior level,2,"['github', 'warehousing', 'microsoft azure', 'datalake', 'scala', 'sql', 'apache http server', 'sql', 'spark', 'cloud computing', 'coding', 'python', 'ci-cd']",united states1,nan,
software engineer,software engineer i,entry level,5,"['nodejs', 'mysql', 'agile', 'oracle', 'asp.net', 'hadoop', 'sql', 'javascript', 'c++', 'coding', 'html', 'programming', 'css', 'mongodb', 'microsoft', 'no-sql']",united states16,nan,
business analyst,associate business analyst,entry level,2,"['excel', 'agile']","phoenix, az1",nan,
developer,swift developer,mid-senior level,4,"['ios', 'programming', 'backend', 'excel', 'swift']","richmond, ca",nan,
data engineer,aws data engineer,mid-senior level,6,"['pyspark', 'datalake', 'etl', 'amazon web services', 'no-sql', 'sql', 'hadoop', 'data_lakes', 'machine learning', 'spark', 'cloud computing', 'devops', 'python', 'amazon redshift', 'iot']","los angeles, ca",nan,
software developer,software developer (node.js,mid-senior level,4,"['xml', 'microsoft azure', 'agile', 'git', 'java', 'node.js', 'go', 'javascript', 'kanban', 'scrum', 'json', 'pl/sql', 'programming', 'cloud computing', 'database', 'devops', 'microsoft', 'no-sql']","rochester, ny9",nan,
data analyst,healthcare payer data analyst,associate,5,"['datalake', 'oracle', 'sql', 'hadoop', 'database', 'microsoft', 'python', 'ibm']","charleston, sc25",nan,
data engineer,senior data engineer,mid-senior level,9,"['etl', 'no-sql', 'sql', 'go', 'linux', 'programming', 'python', 'postgresql']","baltimore, md5",nan,
business intelligence analyst,jr. business intelligence analyst,mid-senior level,4,"['powershell', 'scala', 'java', 'powerbi', 'sql', 'c++', 'tableau', 'python', 'r']","raleigh, nc",information technology & services,"1,001-5,000 employees"
software engineer,software engineer,entry level,0,"['microsoft azure', 'amazon web services', 'go', 'programming', 'cloud computing', 'microsoft']","santa ana, ca2",nan,
ux researcher,"senior ux researcher, contract",mid-senior level,5,['outlook'],"california, united states",nan,
software development engineer,"senior software development engineer in test, data security",associate,3,"['linux', 'programming', 'cloud computing', 'docker', 'python', 'ci-cd']","san diego, ca2",nan,
data scientist,data scientist,entry level,2,"['powerbi', 'microsoft azure', 'amazon web services', 'sql', 'programming', 'cloud computing', 'google cloud platform', 'python']",united states6,nan,
ux researcher,ux researcher,mid-senior level,3,['excel'],"bellevue, wa",nan,
senior analyst,"senior analyst, sales incentive compensation",mid-senior level,5,['excel'],united states4,nan,
software engineer,lead software engineer,associate,1,"['mysql', 'oracle', 'amazon web services', 'sql', 'c++', 'javascript', 'linux', 'server', 'machine learning', 'database', 'postgresql']","san francisco, ca",nan,
data analyst,senior business data analyst,associate,3,"['github', 'jira software', 'powerbi', 'sap', 'sql', 'saas', 'tableau', 'amazon redshift', 'ibm']",united states11,nan,
business analyst,technical business analyst,mid-senior level,3,"['powerbi', 'agile', 'powerbi', 'sql', 'tableau', 'cloud computing', 'etl']",greater philadelphia15,nan,
data scientist,data scientist,mid-senior level,4,[],"hillsboro, or",nan,
business analyst,business analyst,associate,6,[],"jacksonville, fl14",nan,
ux researcher,ux researcher,mid-senior level,9,['excel'],"orem, ut",nan,
developer,mirth data integration developer,mid-senior level,8,['javascript'],"atlanta, ga2",nan,
software engineer,senior software engineer,associate,4,"['redis', 'postgresql', 'datadog', 'go', 'saas', 'docker', 'python', 'graphql']","virginia, mn",nan,
software engineer,senior software engineer,mid-senior level,7,"['nodejs', 'no-sql', 'ci-cd', 'graphql']",united states2,nan,
software engineer,backend software engineer,entry level,1,"['java', 'backend']","dallas, tx12",nan,
developer,liferay developer,mid-senior level,6,"['java', 'scrum', 'amazon web services', 'agile']","atlanta, ga",management consulting,"501-1,000 employees"
software engineer,software engineer,entry level,2,"['agile', 'java', 'javascript', 'css', 'database', 'html']",united states4,nan,
software engineer,"software engineer, fullstack",entry level,3,"['postgresql', 'node.js', 'go', 'coding', 'mongodb', 'python']",united states5,nan,
data engineer,senior data engineer,mid-senior level,0,"['cloud computing', 'microsoft azure', 'amazon web services']","athens, ga",nan,
data scientist,senior data scientist,associate,1,"['amazon web services', 'hadoop', 'machine learning', 'spark', 'cloud computing', 'google cloud platform', 'python']",united states16,nan,
data analyst,hr data analyst,associate,4,"['microsoft', 'excel']",united states159,nan,
software engineer,cyber software engineer/application developer with security clearance,entry level,2,"['powershell', 'mysql', 'xml', 'oracle', 'java', 'linux', 'sql', 'c++', 'server', 'programming', 'database', 'microsoft', 'ibm']","montgomery, al",nan,
data scientist,data scientist-remote,mid-senior level,4,"['artificial intelligence', 'sql', 'machine learning', 'programming', 'python', 'r']","portland, or5",nan,
senior analyst,"senior analyst, site analytics",associate,2,"['powerpoint', 'powerbi', 'sql', 'python', 'tableau', 'database', 'excel', 'outlook', 'word', 'r']",united states5,nan,
software development engineer,senior software development engineer in test,mid-senior level,4,"['php', 'agile', 'java', 'c++', 'javascript', 'swift', 'scrum', 'selenium', 'programming', 'coding', 'python', 'ci-cd']","san francisco, ca32",nan,
developer,sitecore developer,mid-senior level,7,"['json', 'sql', 'server', 'c++']","oakland, ca",nan,
software engineer,software engineer,mid-senior level,5,"['postgresql', 'java', 'node.js', 'javascript', 'mongodb']","atlanta, ga1",nan,
software engineer,software engineer,entry level,1,"['cloud computing', 'programming', 'go']","austin, tx16",nan,
product manager,"product manager, developer education platform",entry level,4,"['microsoft azure', 'amazon web services', 'cloud computing', 'devops', 'microsoft']","new orleans, la",nan,
data engineer,data engineer,mid-senior level,6,"['mysql', 'oracle', 'java', 'sql', 'javascript', 'saas', 'linux', 'programming', 'backend', 'python']",united states6,nan,
business analyst,business analyst,mid-senior level,6,"['gdpr', 'agile', 'artificial intelligence', 'powerbi', 'scrum', 'machine learning', 'tableau', 'snowflake']",raleigh-durham-chapel hill area73,nan,
software engineer,software engineer,associate,3,"['twilio', 'paas', 'linux', 'saas', 'r']",united states26,nan,
software engineer,staff software engineer,associate,4,"['redis', 'postgresql', 'datadog', 'go', 'saas', 'docker', 'python', 'graphql']","iowa, united states",nan,
data engineer,lead data engineer,mid-senior level,6,"['pyspark', 'git', 'java', 'agile', 'apache airflow', 'no-sql', 'cognos', 'hadoop', 'powerbi', 'scrum', 'tableau', 'cloud computing', 'mongodb', 'python', 'etl']","chicago, il",nan,
financial analyst,"senior financial analyst, strategic finance",mid-senior level,2,"['saas', 'excel']","palo alto, ca20",nan,
software engineer,software engineer -remote,entry level,0,"['agile', 'sql', 'c++', 'scrum', 'programming', 'database', 'coding', 'microsoft']","greenwood village, co",construction,"5,001-10,000 employees"
